hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
629_3030,4,3030669.5851477394,629409.3352416576,50.0,HIGH
630_3000,1,3000844.132293202,630805.0289878504,12.5,LOW
630_3001,1,3001127.1239007106,630501.8898186581,12.5,LOW
630_3004,3,3004397.7886563265,630523.5842253465,37.5,MODERATE
630_3007,1,3007765.3788752304,630795.563692461,12.5,LOW
630_3010,1,3010779.5091211856,630904.066645128,12.5,LOW
630_3029,1,3029171.5884820637,630069.3233526398,12.5,LOW
631_3008,1,3008355.7648181934,631328.6988688838,12.5,LOW
631_3009,1,3009799.7832711195,631104.3040468355,12.5,LOW
631_3010,1,3010045.5528666098,631054.9514898539,12.5,LOW
631_3013,2,3013834.5633213995,631688.8585058604,25.0,MODERATE
631_3031,1,3031420.206296202,631408.05350435,12.5,LOW
632_2999,1,2999391.82278066,632871.9805106043,12.5,LOW
632_3001,2,3001370.2981852856,632837.0975659953,25.0,MODERATE
632_3009,1,3009393.18354184,632803.7025476786,12.5,LOW
633_3000,1,3000727.359085178,633146.9117447891,12.5,LOW
633_3001,1,3001966.883929207,633073.0919567703,12.5,LOW
633_3002,1,3002394.5135197914,633060.1939285955,12.5,LOW
633_3003,1,3003735.9479666846,633604.7357237879,12.5,LOW
633_3004,3,3004663.1339209154,633298.4234790708,37.5,MODERATE
633_3005,3,3005518.0077737323,633614.9888288284,37.5,MODERATE
633_3009,1,3009200.2869380973,633752.453657939,12.5,LOW
633_3013,2,3013268.2742775325,633411.440548357,25.0,MODERATE
633_3014,2,3014210.3324041693,633584.2494953284,25.0,MODERATE
634_2998,1,2998361.8232343164,634967.9707299826,12.5,LOW
634_3006,1,3006115.2190713394,634201.2728084598,12.5,LOW
634_3009,1,3009355.423733487,634155.2701759646,12.5,LOW
634_3014,1,3014066.6216423716,634096.0944509753,12.5,LOW
634_3031,2,3031341.653690704,634114.618910922,25.0,MODERATE
635_2999,1,2999065.259821863,635122.8585155974,12.5,LOW
635_3002,3,3002501.580326097,635663.7921425821,37.5,MODERATE
635_3003,1,3003243.1366289705,635834.6755632111,12.5,LOW
635_3005,1,3005940.3893639436,635111.5551793743,12.5,LOW
635_3006,2,3006526.8624229664,635801.5346173097,25.0,MODERATE
635_3011,1,3011711.535365492,635731.1064992314,12.5,LOW
635_3012,2,3012093.784922503,635929.0743171943,25.0,MODERATE
635_3018,2,3018825.164776149,635562.3873972257,25.0,MODERATE
635_3020,1,3020728.4221877772,635956.6255995345,12.5,LOW
635_3021,1,3021165.575746026,635407.4647069348,12.5,LOW
636_2998,1,2998020.1522095874,636657.3487440213,12.5,LOW
636_3001,1,3001174.5682534473,636639.31016835,12.5,LOW
636_3003,1,3003079.4624291104,636064.9280828838,12.5,LOW
636_3004,1,3004904.5510138907,636639.5829439999,12.5,LOW
636_3006,1,3006276.484768176,636858.4602047661,12.5,LOW
636_3011,1,3011711.3053861223,636275.8766303121,12.5,LOW
636_3012,2,3012775.5010970375,636488.3580764832,25.0,MODERATE
636_3016,1,3016337.501358971,636321.242840633,12.5,LOW
636_3021,1,3021166.821208936,636075.5185931486,12.5,LOW
637_3001,3,3001535.2950522783,637262.25006968,37.5,MODERATE
